session_id,video_path,fps,frame_width,frame_height,event_name,reference_frame,reference_time_s,point_name,x_px,y_px,annotator_id,annotation_round,quality_note
2850af90-f8fc-4050-a178-b659098e69df,C:\Users\isinu\Downloads\Telegram Desktop\7a0c087a-b6c7-42ea-bc67-63453d4cac7f\2850af90-f8fc-4050-a178-b659098e69df\video_processed.mp4,30.0,608,1080,address,32,1.06667,,,,consensus,1,adjudication:D0001;decision:mean;reason:midpoint of Ivan and Daria frames (disclosed mean rule)
2850af90-f8fc-4050-a178-b659098e69df,C:\Users\isinu\Downloads\Telegram Desktop\7a0c087a-b6c7-42ea-bc67-63453d4cac7f\2850af90-f8fc-4050-a178-b659098e69df\video_processed.mp4,30.0,608,1080,downswing_transition,55,1.83333,,,,consensus,1,adjudication:D0002;decision:mean;reason:midpoint of Ivan and Daria frames (disclosed mean rule)
2850af90-f8fc-4050-a178-b659098e69df,C:\Users\isinu\Downloads\Telegram Desktop\7a0c087a-b6c7-42ea-bc67-63453d4cac7f\2850af90-f8fc-4050-a178-b659098e69df\video_processed.mp4,30.0,608,1080,impact,58,1.93333,,,,consensus,1,adjudication:D0003;decision:mean;reason:midpoint of Ivan and Daria frames (disclosed mean rule)
2850af90-f8fc-4050-a178-b659098e69df,C:\Users\isinu\Downloads\Telegram Desktop\7a0c087a-b6c7-42ea-bc67-63453d4cac7f\2850af90-f8fc-4050-a178-b659098e69df\video_processed.mp4,30.0,608,1080,top_backswing,54,1.8,,,,consensus,1,adjudication:D0004;decision:mean;reason:midpoint of Ivan and Daria frames (disclosed mean rule)
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,C:\Users\isinu\Downloads\Telegram Desktop\7a0c087a-b6c7-42ea-bc67-63453d4cac7f\2ac2bc4c-b28e-4adf-a94e-a1227f7801d9\video_processed.mp4,30.0,1080,1920,address,98,3.26667,,,,consensus,1,adjudication:D0005;decision:mean;reason:midpoint of Ivan and Daria frames (disclosed mean rule)
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,C:\Users\isinu\Downloads\Telegram Desktop\7a0c087a-b6c7-42ea-bc67-63453d4cac7f\2ac2bc4c-b28e-4adf-a94e-a1227f7801d9\video_processed.mp4,30.0,1080,1920,downswing_transition,127,4.23333,,,,consensus,1,adjudication:D0006;decision:mean;reason:midpoint of Ivan and Daria frames (disclosed mean rule)
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,C:\Users\isinu\Downloads\Telegram Desktop\7a0c087a-b6c7-42ea-bc67-63453d4cac7f\2ac2bc4c-b28e-4adf-a94e-a1227f7801d9\video_processed.mp4,30.0,1080,1920,impact,131,4.36667,,,,consensus,1,adjudication:D0007;decision:mean;reason:midpoint of Ivan and Daria frames (disclosed mean rule)
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,C:\Users\isinu\Downloads\Telegram Desktop\7a0c087a-b6c7-42ea-bc67-63453d4cac7f\2ac2bc4c-b28e-4adf-a94e-a1227f7801d9\video_processed.mp4,30.0,1080,1920,top_backswing,123,4.1,,,,consensus,1,adjudication:D0008;decision:mean;reason:midpoint of Ivan and Daria frames (disclosed mean rule)
32fec03e-0046-4581-885b-ef0d7f174e53,C:\Users\isinu\Downloads\Telegram Desktop\7a0c087a-b6c7-42ea-bc67-63453d4cac7f\32fec03e-0046-4581-885b-ef0d7f174e53\video_processed.mp4,30.0,720,1280,address,75,2.5,,,,consensus,1,adjudication:D0009;decision:mean;reason:midpoint of Ivan and Daria frames (disclosed mean rule)
32fec03e-0046-4581-885b-ef0d7f174e53,C:\Users\isinu\Downloads\Telegram Desktop\7a0c087a-b6c7-42ea-bc67-63453d4cac7f\32fec03e-0046-4581-885b-ef0d7f174e53\video_processed.mp4,30.0,720,1280,downswing_transition,90,3.0,,,,consensus,1,adjudication:D0010;decision:mean;reason:midpoint of Ivan and Daria frames (disclosed mean rule)
